# source: https://github.com/nflverse/nflverse-data/releases/download/weekly_rosters/roster_weekly_2025.csv
# fetched: 2026-09-02 (one-off plain fetch; recorded fixture — tests never touch the network)
# trimmed to: 2025 REG week 1, teams KC and ARI, every roster status (ACT/INA/RES/DEV/CUT/...). Header and rows verbatim.
season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2025,ARI,DL,DE,93,ACT,Calais Campbell,Calais,Campbell,1986-09-01,80,300,Miami,00-0026190,11284,0333b8f0-3aab-45aa-a684-6d402a309413,8827,5587,4364,CampCa99,3341,125,17,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/juvpepl8uc1p9rs7upsf",INTERIOR_LINE,1,REG,A01,Calais,CAM208843,33131,32004341-4d20-8843-b05a-24f8ec79f300,2008,2008,ARI,50
2025,ARI,LS,LS,46,ACT,Aaron Brewer,Aaron,Brewer,1990-07-05,77,232,San Diego State,00-0028946,15241,99149c69-e14f-4e05-9c3a-8ae7e3b1f00b,25976,8543,7301,BrewAa00,14042,1122,13,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mnaix4zmrmwryj55usgx",,1,REG,A01,Aaron,BRE611741,38897,32004252-4561-1741-8e18-114a5262818a,2012,2012,,
2025,ARI,OL,T,68,ACT,Kelvin Beachum,Kelvin,Beachum,1989-06-08,75,308,SMU,00-0029316,,,,,,,,,13,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dgul4jljoasida1h8tag",,1,REG,A01,Kelvin,BEA111513,38779,32004245-4111-1513-5626-cd2b32ceb041,2012,2012,PIT,248
2025,KC,TE,TE,87,ACT,Travis Kelce,Travis,Kelce,1989-10-05,77,260,Cincinnati,00-0030506,15847,c3859e06-5f23-4302-a71b-04820a899d5f,26686,8783,7844,KelcTr00,15048,1466,12,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ebc5j60djpinc9elvlc5",SLOT_WR,1,REG,A01,Travis,KEL012458,40011,32004b45-4c01-2458-b7b6-3a14cdb414dd,2013,2013,KC,63
2025,KC,LS,LS,41,ACT,James Winchester,James,Winchester,1989-08-06,75,240,Oklahoma,00-0030615,16665,996a0607-8046-46c2-97a0-b94ff9f5a1c8,27494,10606,8580,WincJa00,15917,1785,12,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qw1jmfvcpwxx12cewfqg",,1,REG,A01,James,WIN034202,40994,32005749-4e03-4202-ea63-4415bac76e40,2013,2013,,
2025,KC,DL,DT,95,ACT,Chris Jones,Christopher,Jones,1994-07-03,78,308,Mississippi State,00-0032762,3044859,ef7b5ce8-a929-46be-b9f3-328752c6d125,29271,11074,10671,JoneCh09,18331,3558,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yrka1thykkvkfo4ixrxc",INTERIOR_LINE,1,REG,A01,Chris,JON162595,43326,32004a4f-4e16-2595-4a1d-89da02ce049b,2016,2016,KC,37
2025,KC,DB,SS,26,RES,Deon Bush,Deon,Bush,1993-08-14,72,200,Miami,00-0032774,2969944,abb612d4-f5b9-4644-b9ed-f13fa0da7e98,29358,10930,10758,BushDe00,18045,3284,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/v0inth9nfhbpq1ufqpmv",,1,REG,R01,Deon,BUS216856,43413,32004255-5321-6856-7188-bf3ce3fe93af,2016,2016,CHI,124
2025,ARI,QB,QB,7,ACT,Jacoby Brissett,Jacoby,Brissett,1992-12-11,76,235,N.C. State; Florida,00-0033119,2578570,ad2258ab-67f0-41c2-bcf3-f3ba145187dc,29325,10919,10725,BrisJa00,18018,3257,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rdxowm5dvpbb8p3aazbc",,1,REG,A01,Jacoby,BRI516391,43380,32004252-4951-6391-fb1e-f908d9b96e12,2016,2016,NE,91
2025,KC,K,K,7,ACT,Harrison Butker,Harrison,Butker,1995-07-14,76,205,Georgia Tech,00-0033303,3055899,4ceb866c-8eaf-49b5-9043-56228e43a2e5,30346,11783,11988,ButkHa00,19073,4227,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ove4pmnrtqtuyta6rrlc",,1,REG,A01,Harrison,BUT061642,45046,32004255-5406-1642-3745-75ce5dec0422,2017,2017,CAR,233
2025,ARI,DL,DT,94,ACT,Dalvin Tomlinson,Dalvin,Tomlinson,1994-02-18,75,318,Alabama,00-0033546,2979860,6371b42c-2783-49e8-8def-ce4d7dc91081,30168,11946,11810,TomlDa00,18938,4092,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/al9wtdcyop0h56lby8ba",INTERIOR_LINE,1,REG,A01,Dalvin,TOM676763,44867,3200544f-4d67-6763-bcfe-e2b65c26698d,2017,2017,NYG,55
